"","Group.1","Group.2","Group.3","x"
"656",2010,"January",6,605.983796296296
"657",2011,"January",6,598.580882352941
"658",2012,"January",6,669.416666666667
"659",2013,"January",6,421.21568627451
"660",2014,"January",6,574.596354166667
"661",2015,"January",6,612.80303030303
"662",2016,"January",6,646.965625
"663",2017,"January",6,544.130630630631
"664",2018,"January",6,414.338768115942
"665",2019,"January",6,413.987244897959
"666",2009,"July",6,637.735294117647
"667",2010,"July",6,679.863425925926
"668",2011,"July",6,628.593137254902
"669",2012,"July",6,861.337962962963
"670",2013,"July",6,582.156862745098
"671",2014,"July",6,461.294270833333
"672",2015,"July",6,551.889957264957
"673",2016,"July",6,648.089430894309
"674",2017,"July",6,715.209375
"675",2018,"July",6,744.47
"676",2019,"July",6,585.906446540881
"677",2009,"June",6,540.776960784314
"678",2010,"June",6,390.381944444444
"679",2011,"June",6,598.129901960784
"680",2012,"June",6,642.041666666667
"681",2013,"June",6,646.69362745098
"682",2014,"June",6,725.415364583333
"683",2015,"June",6,647.375
"684",2016,"June",6,603.258720930233
"685",2017,"June",6,568.996710526316
"686",2018,"June",6,675.848090277778
"687",2019,"June",6,568.533496732026
"688",2010,"March",6,533.68287037037
"689",2011,"March",6,515.676470588235
"690",2012,"March",6,734.763888888889
"691",2013,"March",6,717.224537037037
"692",2014,"March",6,706.963709677419
"693",2015,"March",6,736.274774774775
"694",2016,"March",6,514.83912611718
"695",2017,"March",6,616.996794871795
"696",2018,"March",6,694.484375
"697",2019,"March",6,642.81
"698",2009,"May",6,713.136111111111
"699",2010,"May",6,673.243055555556
"700",2011,"May",6,749.299019607843
"701",2012,"May",6,439.060185185185
"702",2013,"May",6,624.865740740741
"703",2014,"May",6,605.420977011494
"704",2015,"May",6,596.132675438596
"705",2016,"May",6,811.847868217054
"706",2017,"May",6,539.137061403509
"707",2018,"May",6,504.841145833333
"708",2019,"May",6,568.450980392157
"709",2009,"November",6,749.849537037037
"710",2010,"November",6,552.759803921569
"711",2011,"November",6,354.879901960784
"712",2012,"November",6,361.314814814815
"713",2013,"November",6,666.268055555556
"714",2014,"November",6,647.186868686869
"715",2015,"November",6,670.391447368421
"716",2016,"November",6,466.824786324786
"717",2017,"November",6,719.177536231884
"718",2018,"November",6,322.308333333333
"719",2009,"October",6,578.1875
"720",2010,"October",6,619.892156862745
"721",2011,"October",6,708.379901960784
"722",2012,"October",6,472.49537037037
"723",2013,"October",6,467.270531400966
"724",2014,"October",6,547.050505050505
"725",2015,"October",6,571.527777777778
"726",2016,"October",6,688.557291666667
"727",2017,"October",6,706.801851851852
"728",2018,"October",6,588.031045751634
"729",2009,"September",6,371.200980392157
"730",2010,"September",6,626.253196930946
"731",2011,"September",6,570.083333333333
"732",2012,"September",6,669.100490196078
"733",2013,"September",6,755.525
"734",2014,"September",6,578.118686868687
"735",2015,"September",6,415.328125
"736",2016,"September",6,630.914682539683
"737",2017,"September",6,552.05625
"738",2018,"September",6,632.430555555556
"739",2010,"April",7,706.418981481482
"740",2011,"April",7,727.061274509804
"741",2012,"April",7,620.041666666667
"742",2013,"April",7,520.358796296296
"743",2014,"April",7,686.73828125
"744",2015,"April",7,593.03587962963
"745",2016,"April",7,762.593495934959
"746",2017,"April",7,792.622916666667
"747",2018,"April",7,658.77806122449
"748",2019,"April",7,578.68962585034
"749",2009,"August",7,778.433823529412
"750",2010,"August",7,546.502450980392
"751",2011,"August",7,368.029411764706
"752",2012,"August",7,665.94212962963
"753",2013,"August",7,643.809895833333
"754",2014,"August",7,613.025
"755",2015,"August",7,716.592708333333
"756",2016,"August",7,534.888888888889
"757",2017,"August",7,573.571581196581
"758",2018,"August",7,606.99183006536
"759",2009,"December",7,658.736111111111
"760",2010,"December",7,668.640625
"761",2011,"December",7,741.46568627451
"762",2012,"December",7,866.06712962963
"763",2013,"December",7,723.005952380952
